latitude,longitude,address
1.353828,103.863739,309 ANG MO KIO AVE 1
1.366209,103.841476,216 ANG MO KIO AVE 1
1.369205,103.841719,211 ANG MO KIO AVE 3
1.368467,103.844154,202 ANG MO KIO AVE 3
1.369429,103.861322,235 ANG MO KIO AVE 3
1.368624,103.836957,232 ANG MO KIO AVE 3
1.365606,103.844774,308 ANG MO KIO AVE 1
1.365597,103.840528,220 ANG MO KIO AVE 1
1.36599,103.840647,219 ANG MO KIO AVE 1
1.369429,103.861322,247 ANG MO KIO AVE 3
1.353828,103.863739,320 ANG MO KIO AVE 1
1.377019,103.839552,252 ANG MO KIO AVE 4
1.366123,103.837982,223 ANG MO KIO AVE 1
1.368846,103.837905,230 ANG MO KIO AVE 3
1.369429,103.861322,329 ANG MO KIO AVE 3
1.369429,103.861322,313 ANG MO KIO AVE 3
1.373786,103.835523,117 ANG MO KIO AVE 4
1.377019,103.839552,110 ANG MO KIO AVE 4
1.368414,103.84915,343 ANG MO KIO AVE 3
1.369429,103.861322,345 ANG MO KIO AVE 3
1.369429,103.861322,346 ANG MO KIO AVE 3
1.369926,103.843957,121 ANG MO KIO AVE 3
1.370086,103.842486,129 ANG MO KIO AVE 3
1.37038,103.84189,130 ANG MO KIO AVE 3
1.370812,103.843556,128 ANG MO KIO AVE 3
1.371226,103.843608,127 ANG MO KIO AVE 3
1.37166,103.843656,126 ANG MO KIO AVE 3
1.361307,103.854572,403 ANG MO KIO AVE 10
1.361663,103.85478,404 ANG MO KIO AVE 10
1.361589,103.85377,405 ANG MO KIO AVE 10
1.364964,103.855206,417 ANG MO KIO AVE 10
1.364961,103.854045,418 ANG MO KIO AVE 10
1.365354,103.854147,419 ANG MO KIO AVE 10
1.36606,103.854142,441 ANG MO KIO AVE 10
1.365654,103.855261,442 ANG MO KIO AVE 10
1.36605,103.85534,443 ANG MO KIO AVE 10
1.366607,103.855603,444 ANG MO KIO AVE 10
1.368489,103.855479,450 ANG MO KIO AVE 10
1.367696,103.854229,435 ANG MO KIO AVE 10
1.368086,103.854333,433 ANG MO KIO AVE 10
1.367901,103.853455,434 ANG MO KIO AVE 10
1.368603,103.85082,424 ANG MO KIO AVE 3
1.36912,103.851539,425 ANG MO KIO AVE 3
1.365815,103.857101,466 ANG MO KIO AVE 10
1.363515,103.856704,471 ANG MO KIO AVE 10
1.362769,103.858008,474 ANG MO KIO AVE 10
1.369907,103.85557,570 ANG MO KIO AVE 3
1.370282,103.853462,586 ANG MO KIO AVE 3
1.368667,103.857298,455 ANG MO KIO AVE 10
1.366223,103.857175,465 ANG MO KIO AVE 10
1.366769,103.857669,463 ANG MO KIO AVE 10
1.369892,103.859432,564 ANG MO KIO AVE 3
1.370799,103.859191,560 ANG MO KIO AVE 10
1.371275,103.859184,558 ANG MO KIO AVE 10
1.371032,103.857853,559 ANG MO KIO AVE 10
1.375371,103.853699,538 ANG MO KIO AVE 5
1.374154,103.853802,534 ANG MO KIO AVE 10
1.380987,103.835076,601 ANG MO KIO AVE 5
1.380179,103.835752,603 ANG MO KIO AVE 5
1.379872,103.835975,604 ANG MO KIO AVE 5
1.378731,103.836949,608 ANG MO KIO AVE 5
1.378306,103.837256,611 ANG MO KIO AVE 5
1.374856,103.850217,505 ANG MO KIO AVE 8
1.375458,103.848889,503 ANG MO KIO AVE 5
1.377019,103.839552,610 ANG MO KIO AVE 4
1.377019,103.839552,607 ANG MO KIO AVE 4
1.373375,103.853047,524 ANG MO KIO AVE 5
1.372937,103.85037,513 ANG MO KIO AVE 8
1.377207,103.844508,643 ANG MO KIO AVE 5
1.374741,103.855867,542 ANG MO KIO AVE 10
1.372921,103.857057,548 ANG MO KIO AVE 10
1.373622,103.858224,550 ANG MO KIO AVE 10
1.376355,103.844759,639 ANG MO KIO AVE 6
1.376355,103.844759,637 ANG MO KIO AVE 6
1.362577,103.850868,330 ANG MO KIO AVE 1
1.361353,103.851688,333 ANG MO KIO AVE 1
1.375502,103.839957,156 ANG MO KIO AVE 4
1.376708,103.839836,152 ANG MO KIO AVE 5
1.376297,103.836917,178 ANG MO KIO AVE 4
1.376715,103.838598,180 ANG MO KIO AVE 5
1.368977,103.843271,209 ANG MO KIO AVE 3
1.368573,103.837512,231 ANG MO KIO AVE 3
1.370219,103.834692,254 ANG MO KIO AVE 4
1.369429,103.861322,103 ANG MO KIO AVE 3
1.377019,103.839552,105 ANG MO KIO AVE 4
1.367981,103.849262,344 ANG MO KIO AVE 3
1.368337,103.84688,324 ANG MO KIO AVE 3
1.370061,103.8446,120 ANG MO KIO AVE 3
1.376355,103.844759,124 ANG MO KIO AVE 6
1.363947,103.853851,414 ANG MO KIO AVE 10
1.359457,103.855864,438 ANG MO KIO AVE 10
1.369326,103.854553,427 ANG MO KIO AVE 3
1.368941,103.854411,428 ANG MO KIO AVE 3
1.363037,103.856851,473 ANG MO KIO AVE 10
1.370569,103.854813,573 ANG MO KIO AVE 3
1.370605,103.852332,585 ANG MO KIO AVE 3
1.3672,103.858629,456 ANG MO KIO AVE 10
1.373955,103.856455,544 ANG MO KIO AVE 10
1.376355,103.844759,640 ANG MO KIO AVE 6
1.376355,103.844759,638 ANG MO KIO AVE 6
1.376355,103.844759,646 ANG MO KIO AVE 6
1.376778,103.842011,150 ANG MO KIO AVE 5
1.377207,103.844508,179 ANG MO KIO AVE 5
1.363614,103.851798,336 ANG MO KIO AVE 1
1.363279,103.85063,335 ANG MO KIO AVE 1
1.361027,103.85539,401 ANG MO KIO AVE 10
1.366303,103.853496,439 ANG MO KIO AVE 10
1.368999,103.852764,430 ANG MO KIO AVE 3
1.366353,103.859127,460 ANG MO KIO AVE 10
1.367028,103.859382,459 ANG MO KIO AVE 10
1.371488,103.845866,716 ANG MO KIO AVE 6
1.37319,103.856292,545 ANG MO KIO AVE 10
1.384026,103.843879,620 ANG MO KIO AVE 9
1.381774,103.839798,622 ANG MO KIO AVE 9
1.368591,103.831561,259 ANG MO KIO AVE 2
1.369429,103.861322,101 ANG MO KIO AVE 3
1.333865,103.91822,620 BEDOK RESERVOIR RD
0.0,0.0,534 BEDOK NTH ST 3
1.321037,103.934705,18 BEDOK STH RD
0.0,0.0,28 NEW UPP CHANGI RD
0.0,0.0,29 NEW UPP CHANGI RD
0.0,0.0,30 NEW UPP CHANGI RD
0.0,0.0,75 BEDOK NTH RD
0.0,0.0,76 BEDOK NTH RD
0.0,0.0,501 BEDOK NTH ST 3
0.0,0.0,502 BEDOK NTH ST 3
0.0,0.0,503 BEDOK NTH ST 3
0.0,0.0,504 BEDOK NTH ST 3
1.321258,103.933219,2 BEDOK STH AVE 1
1.326078,103.923099,20 CHAI CHEE RD
1.325945,103.922185,21 CHAI CHEE RD
1.324881,103.920247,59 CHAI CHEE RD
1.32588,103.919339,58 CHAI CHEE DR
1.326723,103.91906,55 CHAI CHEE DR
1.322825,103.932801,22 BEDOK STH AVE 1
0.0,0.0,105 BEDOK NTH AVE 4
0.0,0.0,104 BEDOK NTH AVE 4
0.0,0.0,107 BEDOK NTH RD
0.0,0.0,110 BEDOK NTH RD
1.319367,103.943725,69 BEDOK STH AVE 3
1.32281,103.939051,33 BEDOK STH AVE 2
1.321474,103.942844,46 BEDOK STH AVE 3
0.0,0.0,117 BEDOK NTH RD
0.0,0.0,116 BEDOK NTH RD
0.0,0.0,115 BEDOK NTH RD
0.0,0.0,125 BEDOK NTH RD
0.0,0.0,124 BEDOK NTH RD
0.0,0.0,128 BEDOK NTH ST 2
0.0,0.0,129 BEDOK NTH ST 2
0.0,0.0,138 BEDOK NTH ST 2
0.0,0.0,87 BEDOK NTH ST 4
0.0,0.0,100 BEDOK NTH AVE 4
0.0,0.0,412 BEDOK NTH AVE 2
0.0,0.0,402 BEDOK NTH AVE 3
0.0,0.0,401 BEDOK NTH AVE 3
0.0,0.0,425 BEDOK NTH RD
0.0,0.0,416 BEDOK NTH AVE 2
0.0,0.0,418 BEDOK NTH AVE 2
0.0,0.0,424 BEDOK NTH AVE 1
0.0,0.0,419 BEDOK NTH ST 1
0.0,0.0,136 BEDOK NTH AVE 3
0.0,0.0,529 BEDOK NTH ST 3
0.0,0.0,510 BEDOK NTH ST 3
0.0,0.0,525 BEDOK NTH ST 3
0.0,0.0,202 BEDOK NTH ST 1
0.0,0.0,218 BEDOK NTH ST 1
0.0,0.0,213 BEDOK NTH ST 1
0.0,0.0,532 BEDOK NTH ST 3
0.0,0.0,533 BEDOK NTH ST 3
